column,uri,entity_alias,notes
observationID,urn:observationID,sample,
directory,urn:directory,sample,
source,urn:source,sample,
location_name,urn:location_name,sample,
location_type,urn:location_type,sample,
collected_on,urn:collected_on,sample,
medium,urn:medium,sample,
unit,urn:unit,environmentalTrait,
variable_name,urn:variable_name,environmentalTrait,
variable_desc,urn:variable_desc,environmentalTrait,
variable_desc,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,environmentalTrait,specifying rdf:type means we will be mapping values as object properties
value,urn:value,environmentalTrait,
